HI
IH
SI
IS
HS
SH
CX
XC
TI
IT
HT
TH
ST
TS
HI,HI
HI,IH
HI,SI
HI,SH
HI,CX
HI,XC
HI,TI
HI,TH
HI,ST
HI,TS
IH,IS
IH,HS
IH,CX
IH,XC
IH,IT
IH,HT
IH,ST
IH,TS
SI,HI
SI,IS
SI,HS
SI,CX
SI,XC
SI,HT
SI,ST
IS,IH
IS,SH
IS,CX
IS,XC
IS,TH
HS,IH
HS,SI
HS,SH
HS,CX
HS,XC
HS,TH
HS,TS
SH,HI
SH,IS
SH,HS
SH,CX
SH,XC
SH,HT
SH,ST
CX,HI
CX,IH
CX,IS
CX,HS
CX,SH
CX,XC
CX,TI
CX,IT
CX,HT
CX,TH
CX,ST
CX,TS
XC,HI
XC,IH
XC,SI
XC,HS
XC,SH
XC,CX
XC,TI
XC,IT
XC,HT
XC,TH
XC,ST
XC,TS
TI,HI
TI,HS
TI,XC
TI,HT
IT,IH
IT,SH
IT,CX
IT,TH
HT,IH
HT,SH
HT,CX
HT,XC
HT,TH
TH,HI
TH,HS
TH,CX
TH,XC
TH,HT
ST,CX
ST,XC
HI,IH,CX
HI,IH,XC
HI,IH,ST
HI,IH,TS
HI,SI,HI
HI,SI,HS
HI,SI,CX
HI,SI,XC
HI,SI,HT
HI,SH,HI
HI,SH,IS
HI,SH,HS
HI,SH,CX
HI,SH,XC
HI,SH,HT
HI,SH,ST
HI,CX,HI
HI,CX,IH
HI,CX,IS
HI,CX,HS
HI,CX,SH
HI,CX,XC
HI,CX,TI
HI,CX,IT
HI,CX,HT
HI,CX,TH
HI,CX,ST
HI,CX,TS
HI,XC,IH
HI,XC,SI
HI,XC,SH
HI,XC,CX
HI,XC,TH
HI,XC,ST
HI,ST,CX
IH,IS,IH
IH,IS,SH
IH,IS,CX
IH,IS,XC
IH,IS,TH
IH,HS,IH
IH,HS,SH
IH,HS,CX
IH,HS,XC
IH,HS,TH
IH,CX,IS
IH,CX,HS
IH,CX,XC
IH,CX,IT
IH,CX,HT
IH,CX,ST
IH,XC,SI
IH,XC,SH
IH,XC,CX
IH,XC,TI
IH,XC,IT
IH,XC,TH
IH,XC,ST
IH,XC,TS
IH,ST,XC
SI,HI,CX
SI,HI,XC
SI,HI,TI
SI,HI,TH
SI,HS,IH
SI,HS,SH
SI,HS,CX
SI,HS,TH
SI,CX,HI
SI,CX,HS
SI,CX,XC
SI,CX,HT
SI,XC,IH
SI,XC,SH
SI,XC,CX
SI,XC,TH
SI,HT,IH
SI,HT,CX
IS,IH,CX
IS,IH,XC
IS,IH,IT
IS,IH,HT
IS,SH,HS
IS,SH,XC
IS,SH,HT
IS,CX,HI
IS,CX,HS
IS,CX,XC
IS,CX,HT
IS,XC,IH
IS,XC,SH
IS,XC,CX
IS,XC,TH
IS,TH,HI
IS,TH,XC
HS,IH,CX
HS,IH,XC
HS,IH,ST
HS,SI,CX
HS,SH,XC
HS,SH,HT
HS,CX,XC
HS,XC,CX
SH,HI,XC
SH,HI,TS
SH,IS,XC
SH,HS,CX
SH,HS,TH
CX,HI,CX
CX,HI,XC
CX,HI,ST
CX,HI,TS
CX,IS,XC
CX,HS,SH
CX,HS,CX
CX,XC,CX
CX,XC,IT
CX,TI,HI
CX,ST,XC
XC,SI,CX
HI,CX,IS,XC
IH,XC,SI,CX
SI,HI,XC,CX
IS,IH,CX,XC
PxI
PyI
PzI
IPx
IPy
IPz
PxPx
PxPy
PxPz
PyPx
PyPy
PyPz
PzPx
PzPy
PzPz
